name,brewery,style,release_date,rating,ibu,hops,malts,additives,alcohol,og,personal_rating
Woodbridge Ale,Marston’s Brewery,Brown Ale - English,2014-01-08,3.558,18.0,,,,5.0,,4
Helles,Bierstaat,Lager - Helles,2019-09-16,3.378,,,,,5.3,12.0,4
Black Sheep Irish Stout,Heineken,Stout - Irish Dry,2022-07-15,3.558,,,,,4.0,,4
Хлебный квас,Gubernija,Kvass,2014-08-13,2.517,,,,,1.0,,3
Атлантик,Балтийский Меридиан,Wheat Beer - Witbier / Blanche,2020-04-28,3.524,8.0,,,,4.6,,4
Sunrise,D3iwa Brewery,Lager - Helles,2024-07-25,2.731,15.0,,,,4.6,11.5,4
Fleur de Sureau,À tue-tête,Sour - Other,2018-08-08,4.05,,,,,6.5,,4
Takamba,Velka Morava,IPA - New England / Hazy,2021-09-07,3.945,,"Nelson Sauvin,Simcoe,Mosaic",,,6.4,,4
Straßenbahn Hopfenweisse,Stamm Brewing,Wheat Beer - Hopfenweisse,2024-03-19,3.97,,,,,4.5,,4
"Lager Beer 0,0%",Privatbrauerei Kaiserdom,Non-Alcoholic Beer - Lager,2021-12-04,2.743,,,,,,,3
Double Milk Stout,Salden’s Brewery,Stout - Imperial / Double Milk,2015-10-14,3.818,,,,,6.5,,4
Красное,Гости,Lager - Red,2021-07-01,3.249,18.0,,,,4.8,,4
Крушǒвице Velvet Royal,Heineken,Lager - Polotmavé (Czech Amber),2024-02-20,3.05,,,,,5.0,,3
Калекцыя майстра Hoppy Lager,Лідскае піва,Lager - IPL (India Pale Lager),2023-02-28,3.529,25.0,"Sabro,Ella,Perle",,,5.0,,4
Pražačka,Bakalář,Pilsner - Czech / Bohemian,,3.165,,,,,4.0,,4
Pale Wheat,Gilde Brauerei,Wheat Beer - Other,2022-06-12,3.195,,,,,5.0,,4
Hanky Panky,Bierbank,IPA - American,2023-04-26,4.113,40.0,"Mosaic,Citra",,,6.3,,4
OLYMPIA,Бакунин,IPA - Black / Cascadian Dark Ale,2024-06-17,3.646,65.0,,,,6.5,,4
1703,Бакунин,IPA - Imperial / Double New England / Hazy,2018-10-25,3.926,40.0,,,,6.8,18.5,4
HOLA! PEÑO!,Бакунин,Sour - Fruited,2022-05-19,3.821,5.0,,,,6.5,,4
ЮНОСТЬ,Бакунин,Lager - Helles,2022-04-13,3.547,25.0,,,,5.0,,4
КАДЕНС,Бакунин,,2024-05-27,3.39,35.0,,,,0.5,,4
Ultimate Juicenator,Plan B Brewery,IPA - Imperial / Double New England / Hazy,2020-12-15,4.077,40.0,"Simcoe,Sabro,Citra,El Dorado",,,6.8,,4
Summer Lager,Schlafly - The Saint Louis Brewery,Lager - Helles,2012-04-22,3.462,17.0,,,,4.5,,4
Сherry Ale,Sozhski Beer,Fruit Beer,2024-05-08,,10.0,,,Cherry,6.5,,3
#6,Sozhski Beer,Wheat Beer - Hefeweizen,2021-04-09,3.732,10.0,,,,5.2,,4
Cascade & Simcoe IPA,Sozhski Beer,IPA - American,2022-11-25,3.839,45.0,"Cascade,Simcoe",,,6.5,,4
Медовуха,Bierstaat,Mead - Other,2019-03-24,3.491,,,,,5.0,,4
#7,Sozhski Beer,Stout - Milk / Sweet,2021-05-05,3.901,16.0,,,,6.9,,4
Perfect Match Box,"AF Brew,Zagovor Brewery",IPA - Imperial / Double New England / Hazy,2024-04-10,3.931,40.0,,,,6.8,,4
Brewmaster IPA,Brewmaster by Dundalk Bay Brewery and Distillery,IPA - Other,2018-02-14,3.422,40.0,,,,5.6,,4
Apricot Blanche,Pivot Point,Wheat Beer - Fruited,2023-06-12,3.447,,,,Apricot,4.8,,4
La Lucha Libre,Khoffner,Lager - American,2023-03-02,3.71,18.0,,,,4.2,,4
La Trappe Quadrupel,Bierbrouwerij De Koningshoeven,Belgian Quadrupel,,3.911,22.0,,,,6.8,,4
Maisel's Weisse Kristall,Brauerei Gebr. Maisel,Wheat Beer - Kristallweizen,2010-08-21,3.48,11.0,,,,5.1,,4
Уголь,Booze Pharmacy,Stout - Russian Imperial,2018-10-13,,100.0,,,,6.8,,4
Искажение,4BREWERS,Sour - Fruited,2020-12-03,4.166,,,,"Banana,Coconut,Chocolate",6.9,,4
Лукавый,2 Barrels Brewery,Stout - Oatmeal,2018-03-30,3.688,18.0,,,,6.8,,4
Погода В Доме,NONSense Brewery,Sour - Other,2024-04-03,4.157,,,,,6.0,,4
Pryanik Boy,MarvelBoy,Stout - Imperial / Double Milk,2024-03-04,4.011,25.0,,,,6.8,,4
Lingonäpple,Заповедник,Cider - Other Fruit,2021-11-29,4.023,,,,,6.0,,4
Rye Rocket,Brewlok,IPA - Rye,2024-05-08,3.791,,,,,6.2,,4
X-14 IPA,Salden’s Brewery,IPA - American,2024-04-30,3.838,60.0,,,,6.8,,3
Yellow Sea,Midnight Project,IPA - New England / Hazy,2023-05-05,4.044,30.0,"BRU-1,Citra",,,6.8,,4
Morning Bastard,Selfmade Brewery,Stout - Coffee,2024-04-05,4.025,34.0,,,,6.4,,4
The Rite,Wild Lab,Farmhouse Ale - Saison,2023-08-31,4.022,,,,,6.8,,4
CARRY ME,Coven Brewery,Sour - Smoothie / Pastry,2022-05-20,4.191,,,,,6.5,,4
Cranberry & Grapefruit,Fёrn Cider,Cider - Sweet,2023-03-29,3.361,,,,,5.2,,3
Фейхуанго,Chibis Brewery,Sour - Fruited,2023-12-14,3.88,,,,,6.9,,4
Кёльшик,Black Cat Brewery,Kölsch,2023-07-11,3.467,5.0,,,,4.7,,4
Летний вайб : малина,Atmosphere Brewery,Sour - Fruited Berliner Weisse,2023-07-03,3.892,,,,,5.5,,4
Макинтош,White Stone Brewery,Stout - Milk / Sweet,2023-12-11,3.956,11.0,,,,6.0,,4
Averbode,Brouwerij Huyghe,Belgian Strong Golden Ale,2014-04-24,3.555,38.0,,,,6.8,,4
Karlova Krčma Černý,Podkováň,Lager - Dark,2021-01-27,3.174,,,,,4.0,,3
Brown Ale,Jaws,Brown Ale - English,2013-07-20,3.744,35.0,"Galena,Willamette,First Gold","Pale Ale,Munich,Crystal,Black",,6.2,,4
Fractal Coconut,Plague Brew,Stout - Imperial / Double Pastry,2024-02-29,4.08,30.0,,,,6.8,,4
Romantic Day Lager,PT Bali Hai Brewery,Pilsner - German,2020-06-02,2.947,,,,,4.9,,4
ESSA Orange & Cherry,Anadolu Efes,Fruit Beer,2019-09-24,2.623,,,,,6.5,,3
Имбирное,Полоцкое пиво,Fruit Beer,2014-10-11,,,,,,4.0,,3
Бархатное,Česky Lev,Lager - Dark,2016-07-27,3.091,,,,,4.1,,3
Irish Brown Ale Shamrock (Ирландский Эль Shamrock),Томское пиво,Red Ale - Irish,2013-11-27,3.041,,,,,6.2,,3
Барнаульское Светлое,Барнаульский пивоваренный завод,Lager - Euro Pale,2013-07-23,2.496,,,,,4.3,,3
Český Džbánek (Чешский Джбанек),Томское пиво,Lager - Pale,2013-07-21,2.814,,,,,4.5,,3
Бочкари Mini Keg,Бочкари,Lager - Helles,2023-05-30,2.766,,,,,4.2,,3
Вобла Фирменная,Барнаульский пивоваренный завод,Lager - Euro Pale,2016-11-18,2.49,,,,,4.0,,3
Abakanskoe (Абаканское),Ayan (АЯН),Lager - Pale,2014-03-17,3.065,,,,,4.8,,3
Алтай Хан,Бочкари,Lager - Euro Pale,2014-05-31,2.748,,,,,4.7,,3
"Hoegaarden Cherry 0,0",Anadolu Efes,Non-Alcoholic Beer - Wheat Beer,2023-04-02,3.157,,,,,,,2
Marsh Tomb,Plague Brew,Stout - Imperial / Double,2024-03-04,4.094,30.0,,,,6.8,,4
Nord,Robim Good Brewery,IPA - Imperial / Double,2019-10-05,3.542,65.0,,,,6.8,,4
Konrad,"Plague Brew,Rusty Pub",Historical Beer - Broyhan,2024-04-03,3.826,15.0,,,,4.6,,4
Андеграунд,4BREWERS,Lager - Other,2024-02-05,3.793,,,,,4.5,,4
Фермерский Эль Персик,Волковская пивоварня,Farmhouse Ale - Other,2023-08-19,3.209,,,,,4.8,,4
Жигулевское,Gellert & Wild Goat,Lager - Euro Pale,2020-11-22,2.945,,,,,4.5,,4
Cottbus,Plague Brew,Historical Beer - Kottbusser,2024-03-04,3.761,16.0,,,,5.4,,4
BLACK ROCK,Big Village Brewery,IPA - Imperial / Double Black,2024-02-29,3.907,90.0,,,,6.8,,4
Maidstone,Plague Brew,Stout - English,2023-11-15,3.885,30.0,,,,6.5,,4
Hercules,Midnight Project,Stout - Imperial / Double Oatmeal,2024-02-23,3.942,40.0,,,,6.8,,4
На десерт (банан+красный апельсин+миндаль+ваниль),Atmosphere Brewery,Sour - Smoothie / Pastry,2022-10-14,4.131,,,,,6.0,,4
Italian Pilsner,Red Button Brewery,Pilsner - Italian,2024-02-21,3.654,,,,,5.0,,4
Ель и Мята,Burning Brewery,Sour - Other,2024-02-08,3.748,,,,,5.5,,3
Wit (Белое Пшеничное),Волковская пивоварня,Wheat Beer - Witbier / Blanche,2023-10-05,3.226,17.0,,,,4.5,,3
Caramel Delight,Rewort Brewery,Porter - Other,2022-02-17,3.956,27.0,,,,6.9,19.5,4
Terra,13 Litar,Lager - Vienna,2023-08-03,3.465,25.0,"Premiant,Sladek,Saaz","Vienna,Pilsner,Caramel",,5.0,12.0,3
Все псы попадают в рай,Big Pot,Sour - Smoothie / Pastry,2023-04-26,4.211,,,,,6.5,,4
Blue Monkey Wheat Ale,Gletcher,Wheat Beer - Witbier / Blanche,2022-04-19,3.538,,,,,5.4,,4
Хой,Brewlok,Pale Ale - American,2022-12-19,3.574,,,,,5.2,,4
Aecht Schlenkerla Weichsel – Rotbier,Schlenkerla,Rauchbier,2023-06-20,3.822,,,,,4.6,,4
Weizen,1516 Pub & Brewery,Wheat Beer - Hefeweizen,2013-07-18,3.537,,,,,4.9,,4
Виктория,Brewlok,Sour - Smoothie / Pastry,2023-08-16,3.733,,,,,4.7,,4
Festbier,Arcobräu,Festbier,,3.252,6.0,,,,5.7,,3
ОКТЯБРЬ,Бакунин,Festbier,2023-09-22,3.547,19.0,,,,6.5,,4
Method Lavender Ale,Plague Brew,Cream Ale,2023-12-06,3.912,10.0,,,,5.0,,4
Oxford,Red Cat,Pale Ale - English,2021-04-22,3.563,23.0,,,,4.0,,4
Большой брат,4BREWERS,IPA - Imperial / Double,2016-10-23,3.878,101.0,,,,6.8,,4
Аджика Многолика,4BREWERS,Sour - Other Gose,2023-11-07,4.159,,,,,5.0,,4
Точка Зрения,4BREWERS,Pale Ale - American,2024-03-04,3.844,,,,,5.0,,4
Hector,Plague Brew,IPA - Triple New England / Hazy,2023-11-28,3.966,,,,,6.8,,4
Hop Punch Hallertau Blanc,Plague Brew,IPA - Imperial / Double,2023-11-27,4.05,80.0,,,,6.8,,4
Steampunk,Plague Brew,California Common,2024-02-15,3.925,40.0,,,,5.3,,4
Heller Bock (Bourbon Chips) 2023,Red Button Brewery,Bock - Hell / Maibock / Lentebock,2023-09-21,3.742,,,,,6.8,,4
Onkel Weber Bayerisch Hell,Liquid World GbR,Lager - Helles,2021-01-24,2.953,,,,,5.4,,4
Power Metal,Plague Brew,Farmhouse Ale - Sahti,2023-12-08,3.976,15.0,,,,6.8,,4
