name,brewery,style,release_date,rating,ibu,hops,malts,additives,alcohol,og,personal_rating
Chaliera: Idaho Gem,Malanka,IPA - American,2024-02-02,4.181,80.0,Idaho Gem,Pilsner,,6.5,16.0,4
Hop Headshot: Sabro,Midnight Project,IPA - Triple,2020-10-15,4.242,111.0,Sabro,,,6.8,,4
Smuha: Talus,Malanka,IPA - Imperial / Double New England / Hazy,2021-04-02,4.324,,Talus,"Pilsner,Flaked Oats",,6.8,20.0,4
Frozen Throne,Midnight Project,IPA - Cold,2024-01-19,4.005,60.0,"Cascade,Citra,Simcoe",,,6.8,,4
Imhla: Eclipse,Malanka,IPA - New England / Hazy,2024-01-24,4.307,30.0,Eclipse,"Pilsner,Wheat,Flaked Oats,Flaked Wheat",,6.0,17.0,4
Blackout,13 Litar,Stout - American,2017-01-20,3.974,40.0,"Magnum,Sladek,Kazbek,Pekko,El Dorado","Pilsner,Munich,Caramel,Caraaroma,Roasted Barley,Chocolate,Black",,5.5,15.0,4
Abšar: Ahhhroma,Malanka,IPA - White / Wheat,2024-01-12,4.271,40.0,Ahhhroma,"Pilsner,Wheat,Flaked Wheat",,6.8,19.0,4
Trasca: Simcoe & Sabro,Malanka,IPA - Triple,2024-01-10,4.387,120.0,"Simcoe,Sabro",Pilsner,,6.8,21.0,4
Hop Headshot: Citra,Midnight Project,IPA - Triple,2018-09-29,4.216,111.0,Citra,,,6.8,,4
Tajfun: Enigma & Simcoe Cryo,Malanka,IPA - Imperial / Double New England / Hazy,2023-12-29,4.384,40.0,"Enigma,Simcoe","Pilsner,Wheat,Flaked Oats,Flaked Wheat",,6.8,19.3,4
Dog Friendly,Midnight Project,Sour - Fruited,2023-11-11,4.022,10.0,,,Blackberry,6.0,,4
Tomato Factory: Sriracha,Valaduta,Sour - Other Gose,2023-11-06,4.438,10.0,,,,5.0,,4
Zavieja: Enigma & Sabro,Malanka,IPA - Imperial / Double New England / Hazy,2023-11-17,4.407,40.0,"Enigma,Sabro","Pilsner,Wheat,Flaked Oats,Flaked Wheat",,6.8,18.8,4
Cyberpunk Shotgun,Midnight Project,IPA - Imperial / Double,2023-11-17,4.076,70.0,"Citra,Mosaic",,,6.8,,4
Regenesis,Jungle Brewery,IPA - New England / Hazy,2023-12-21,4.325,35.0,"Ahhhroma,Sabro",,,6.8,16.3,4
Session IPA,Berezan's Brewery,IPA - Session,2022-11-27,,30.0,,,,5.0,,3
Ethereal,Rewort Brewery,Pale Ale - New England / Hazy,2023-10-25,3.881,30.0,,,,5.0,,4
Kodalahti,Snowcap Brewing,IPA - Imperial / Double,2023-11-05,4.024,70.0,,,,6.8,,4
Greenhouse Fresh,AF Brew,Sour - Fruited Gose,2019-07-04,3.64,,,,,4.8,,4
Triple Vista,AF Brew,IPA - Triple New England / Hazy,2023-01-24,3.789,20.0,,,,6.8,,4
Double Vista,AF Brew,IPA - Imperial / Double New England / Hazy,2023-01-24,3.806,20.0,,,,6.8,,4
Pizza Boy,Selfmade Brewery,Sour - Traditional Gose,2018-08-08,3.868,14.0,,,,5.8,,4
А вы точно из отдела кадров?,4BREWERS,IPA - New England / Hazy,2023-07-10,3.934,,,,,6.8,,3
Black Currant Mead,Степь и ветер,Mead - Melomel,2018-03-13,4.111,,,,Black Currant,6.0,,4
Tomato Gose Uzbekistan Edition,Salden’s Brewery,Sour - Other Gose,2023-06-30,3.711,,,,,5.0,,4
Patch,Zagovor Brewery,Sour - Traditional Gose,2019-03-16,4.085,10.0,,,"Guava,Mango,Passion fruit,Lime",5.5,14.0,4
The Base,Mad Frog Brewery,Mead - Other,2023-02-23,4.447,,,,,6.8,,4
Rocket Jump,Selfmade Brewery,IPA - American,2017-11-20,3.851,49.0,"Citra,Lemondrop,Warrior,Cascade",,,6.3,,4
Catonomicon,Selfmade Brewery,IPA - New England / Hazy,2023-07-13,4.022,42.0,,,,6.0,,4
