name,brewery,style,release_date,rating,ibu,hops,malts,additives,alcohol,og,personal_rating
Predator,Remeslo Brewery,IPA - Other,2021-03-21,3.669,40.0,,,,5.3,,4
Harvest Festival,Bierstaat,Wheat Beer - Hefeweizen,2024-11-11,3.729,,,,,5.3,,4
ROBIM GOOD THE SUBSTANCE,Robim Good Brewery,Stout - Irish Dry,2024-11-14,,10.0,,,,6.4,,4
Double Decker Ale,New Riga’s Brewery,Bitter - Session / Ordinary,2015-06-09,3.493,25.0,,,,5.0,,4
Медовуха Mog.Nat. Zero Alcohol,Могилевоблпищепром (Mogilevoblpischeprom),Non-Alcoholic Mead,2024-07-25,,,,,,,,3
Kapittel Blond,Leroy Breweries,Belgian Blonde,2010-12-04,3.254,,,,,6.5,,4
FACTORY TRIPLE IPA,Robim Good Brewery,IPA - Triple,2024-11-11,4.293,120.0,Nectaron,,,6.8,,4
Full Circle,Jungle Brewery,Pilsner - German,2024-11-25,4.004,28.0,"Hallertau Blanc,Tettnanger",,,5.0,11.7,4
SACHERTORTE,"Brewlok,КУЛИNAR",Stout - Imperial / Double Oatmeal,2024-06-10,4.045,,,,,6.0,,4
Игра теней,Atmosphere Brewery,Stout - Other,2021-05-12,3.794,20.0,,,,6.8,,4
Pavaloka: HBC 1019,Malanka,IPA - Triple New England / Hazy,2024-10-30,4.495,40.0,HBC 1019,"Pilsner,Wheat,Flaked Wheat,Flaked Oats",,6.8,21.0,4
Свярдлоўскі дваровы кот,Midnight Project,IPA - American,2024-11-21,,50.0,,,,6.6,,4
Krymskaya Riviera (Крымская Ривьера),ПБК Крым,Lager - Pale,2015-07-01,2.768,,,,,5.0,,2
Dark Velvet,Sozhski Beer,Lager - Euro Dark,2022-03-18,3.521,12.0,,,,5.6,,3
Boom (Бом),Brauning Bier,Belgian Dubbel,2024-11-19,,20.0,,,,6.9,,4
The Irishman,Sozhski Beer,Stout - Irish Dry,2024-08-30,3.778,30.0,,,,4.0,,4
Аномалия,Atmosphere Brewery,Porter - English,2022-02-18,3.834,30.0,,,,6.8,,4
Piarevaracień: Abrykos,Malanka,Stout - Imperial / Double Oatmeal,2024-11-20,,40.0,,,,6.8,,4
Tajfun: Riwaka & Nelson,Malanka,IPA - Imperial / Double New England / Hazy,2024-11-04,4.41,50.0,,,,6.8,,4
Mighty Boosh,Boxing Wizard Brewery,Kölsch,2024-10-08,3.822,28.0,,,,4.8,,4
Chaliera: Krush,Malanka,IPA - American,2024-11-18,4.417,80.0,,,,6.7,,4
PEPPERONI: Extra Hot Edition,Bierbank,Sour - Tomato / Vegetable Gose,2024-11-01,4.041,11.0,,,,4.8,,4
Boost: Citra & Nelson Sauvin,Jungle Brewery,Pale Ale - New England / Hazy,2024-11-11,4.396,30.0,,,,5.9,,4
Rager: HBC-682,Valaduta,IPA - Imperial / Double,2024-11-15,4.339,70.0,,,,6.8,,4
Mlosć: Perle,Malanka,Pale Ale - American,2024-11-11,4.197,50.0,,,,5.6,,4
Howard Loves Cat,Midnight Project,Pale Ale - New England / Hazy,2024-10-25,3.943,25.0,,,,5.0,,4
Popcorn Trick,Rewort Brewery,Stout - Pastry,2024-08-21,3.954,15.0,,,,6.8,,4
Imhla: Nelson Amplifire,Malanka,IPA - New England / Hazy,2024-11-13,4.458,40.0,,,,6.6,,4
Bavarian IPA,Privatbrauerei Kaiserdom,IPA - Other,2024-08-12,3.286,,,,,5.1,,4
Weissbier Resi - Helles,Privatbrauerei Hösl,Wheat Beer - Hefeweizen,2011-12-01,3.338,15.0,,,,5.3,,4
Pilsener,Arcobräu,Pilsner - German,,3.257,,,,,4.9,,3
Erdinger Brauhaus Helles,Erdinger Weissbräu,Lager - Helles,2022-03-20,3.404,14.0,,,,5.1,,4
Seth & Riley's Garage Hard Lingonberry Drink,Балтика,Shandy / Radler,2018-03-02,2.946,,,,,4.6,,3
Shadow HAS Brew,HAS Brew,Lager - Dark,2024-10-30,3.168,10.0,,,,5.3,,4
Thunderclap,Bierstaat,Stout - Milk / Sweet,2024-11-11,4.017,,,,,6.2,,4
HERE TO STAY,Coven Brewery,Sour - Smoothie / Pastry,2022-03-10,4.434,,,,,5.0,,4
Баланс Белого,Милл Фауз,Wheat Beer - Other,2022-09-12,2.643,,,,,4.0,,4
