Пиво,Пивоварня,Стиль,ABV,IBU,Рейтинг
Puff,,Sixpoint Brewery,9.8% ABV,108 IBU,4.032
Bourgogne des Flandres Brune / Bruin,,Brewery John Martin & Brewery Timmermans,5% ABV,N/A IBU,3.521
A Little Crazy,,Revolution Brewing,6.8% ABV,35 IBU,3.758
Gotta Get Up to Get Down,,Wiseacre Brewing Company,5% ABV,15 IBU,3.954
Alpha Klaus,,3 Floyds Brewing,6% ABV,38 IBU,3.818
HopFish India Pale Ale (IPA),,Flying Fish Brewing Co.,6.2% ABV,25 IBU,3.527
Bloody 'Ell,,Beavertown,5.5% ABV,40 IBU,3.685
Chocolate Oak Aged Yeti,,Great Divide Brewing Company,9.5% ABV,75 IBU,4.042
Purple Monkey Dishwasher,,Evil Genius Beer Company,6.7% ABV,35 IBU,3.734
Steam Brew Imperial IPA,,Privatbrauerei Eichbaum,7.8% ABV,70 IBU,3.109
Stacy's Mom,,Evil Genius Beer Company,7.5% ABV,85 IBU,3.641
Punkuccino Coffee Pumpkin Ale,,Elysian Brewing Company,6% ABV,N/A IBU,3.933
Hel & Verdoemenis,,Brouwerij de Molen,10% ABV,102 IBU,3.858
ZiegenBock Texas Amber,,Anheuser-Busch,4.9% ABV,N/A IBU,3.215
Leffe Royale Whitbread Golding,,Abbaye de Leffe,7.5% ABV,33 IBU,3.659
Stone Hazy IPA,,Stone Brewing,6.7% ABV,35 IBU,3.726
West Sixth IPA,,West Sixth Brewing,7% ABV,80 IBU,3.698
Hazed & Infused,,Boulder Beer,5% ABV,38 IBU,3.468
Calico,,Ballast Point Brewing Company,5.5% ABV,51 IBU,3.537
Roadsmary’s Baby,,Two Roads Brewing Company,6.8% ABV,N/A IBU,3.611
Jeremiah Red®,,BJ's Restaurant & Brewhouse,7.3% ABV,25 IBU,3.622
Rebel IPA,,Samuel Adams,6.5% ABV,45 IBU,3.481
Perler For Svin,,LERVIG,6.3% ABV,35 IBU,3.787
Honey Kölsch,,Rogue Ales,5% ABV,26 IBU,3.61
Pacific Ale,,Stone & Wood,4.4% ABV,30 IBU,3.643
Noble Pils,,Samuel Adams,4.9% ABV,34 IBU,3.349
Old Chub® Nitro,,Oskar Blues Brewery®,6.9% ABV,N/A IBU,3.863
Serendipity,,New Glarus Brewing Company,4% ABV,N/A IBU,4.202
Cumberland,,Jennings Brewery,4% ABV,N/A IBU,3.056
Fixed Gear,,Lakefront Brewery,6.1% ABV,46 IBU,3.58
Festweisse (TAP04),,Schneider Weisse G. Schneider & Sohn,6.2% ABV,28 IBU,3.659
India Pale Ale,,Fuller's Griffin Brewery,5.3% ABV,50 IBU,3.379
Hobgoblin IPA,,Wychwood Brewery,5% ABV,50 IBU,3.511
Judas,,Brouwerij Alken-Maes,8.5% ABV,N/A IBU,3.487
Woods & Waters,,Maine Beer Company,6.2% ABV,N/A IBU,3.972
Double Stout,,Green Flash Brewing Company,8.8% ABV,45 IBU,3.842
Val-Dieu Grand Cru,,Brasserie de l'Abbaye du Val-Dieu,10.5% ABV,20 IBU,3.789
American Pale Ale,,Shipyard Brewing Company,4.5% ABV,55 IBU,3.368
Son of a Peach,,RJ Rockers Brewing Company,5% ABV,16 IBU,3.521
Un*Earthly,,Southern Tier Brewing Company,9.5% ABV,75 IBU,3.86
Christmas Ale,,Bell's Brewery,7.5% ABV,N/A IBU,3.737
Double Chocolate Stout,,Rogue Ales,9% ABV,68 IBU,4.038
Sumpin’ Easy,,Lagunitas Brewing Company,5.7% ABV,51 IBU,3.587
Arctic Panzer Wolf,,3 Floyds Brewing,9% ABV,100 IBU,4.127
Smells Like a Safety Meeting,,Dark Horse Brewing Co.,8.5% ABV,48 IBU,3.819
Dragonfly IPA,,Upland Brewing Company,6.7% ABV,65 IBU,3.593
High Wire Grapefruit,,Magic Rock Brewing,5.5% ABV,35 IBU,3.571
Steenbrugge Blond,,Brouwerij Palm,6.5% ABV,23 IBU,3.406
Bigfoot,,Sierra Nevada Brewing Co.,9.6% ABV,90 IBU,3.645
Barking Squirrel,,Hop City Brewing Co.,5% ABV,24 IBU,3.478
The Temptress,,Lakewood Brewing Co.,9.1% ABV,56 IBU,4.051
Double Dog,,Flying Dog Brewery,12% ABV,85 IBU,3.75
PC Pils,,Founders Brewing Co.,5.5% ABV,45 IBU,3.622
El Gose,,Avery Brewing Co.,4.5% ABV,13 IBU,3.484
Stash IPA,,Independence Brewing Co.,7.5% ABV,94 IBU,3.73
Pumpkin Patch Ale,,Rogue Ales,6.1% ABV,25 IBU,3.765
It's Complicated Being a Wizard,,Burlington Beer Company,8% ABV,40 IBU,4.088
Voll-Damm,,Damm,7.2% ABV,34 IBU,3.202
The Public,,DC Brau Brewing Company,6% ABV,45 IBU,3.532
Forever Ever,,Other Half Brewing Co.,4.7% ABV,50 IBU,3.941
Nitro Red Velvet,,Ballast Point Brewing Company,5.5% ABV,33 IBU,3.536
DAB Export / Dortmunder Export,,Dortmunder Actien-Brauerei,5% ABV,23 IBU,3.071
Aurora Hoppyalis IPA,,Karl Strauss Brewing Company,7% ABV,60 IBU,3.868
Cold Brew IPA,,Rogue Ales,7.5% ABV,82 IBU,3.739
Great White,,Lost Coast Brewery,4.8% ABV,15 IBU,3.492
Wicked Hazy,,Samuel Adams,6.8% ABV,35 IBU,3.669
Jam Up The Mash,,Collective Arts Brewing,5.2% ABV,N/A IBU,3.785
Vagabond,,BrewDog,4.5% ABV,55 IBU,3.43
Rickard's Red,,Molson Coors Canada,5.2% ABV,16 IBU,3.234
100W,,Nya Carnegiebryggeriet,6.8% ABV,N/A IBU,3.54
Breakside IPA,,Breakside Brewery,6.8% ABV,73 IBU,3.936
XX Bitter,,Brouwerij De Ranke,6% ABV,60 IBU,3.472
Stranger Than Fiction,,Collective Arts Brewing,5.5% ABV,25 IBU,3.686
Lizard of Koz,,Founders Brewing Co.,10.5% ABV,40 IBU,3.828
Ciney Blonde,,Brouwerij Alken-Maes,7% ABV,24 IBU,3.436
Supersonic,,LERVIG,8.5% ABV,N/A IBU,4.06
Dino S'mores,,Off Color Brewing,10.5% ABV,40 IBU,4.01
Gouden Carolus Cuvée van de Keizer Imperial Dark,,Brouwerij Het Anker,11% ABV,15 IBU,4.055
Saison,,Allagash Brewing Company,6.1% ABV,N/A IBU,3.643
Blah Blah Blah IPA,,21st Amendment Brewery,8% ABV,65 IBU,3.796
Vanilla Bean Stout,,Avery Brewing Co.,10.5% ABV,50 IBU,4.059
Split Shot,,Elysian Brewing Company,5.6% ABV,28 IBU,3.884
OverRated,,Surly Brewing Company,7.3% ABV,69 IBU,3.859
Broken Skull IPA,,El Segundo Brewing Company,6.7% ABV,67 IBU,3.788
Le Terroir,,New Belgium Brewing Company,7.5% ABV,12 IBU,4.03
Cristal,,Brouwerij Alken-Maes,5% ABV,28 IBU,3.039
Atlantic,,Sharp's Brewery,4.2% ABV,26 IBU,3.37
Tynt Meadow,,Mount Saint Bernard Abbey,7.4% ABV,38 IBU,3.635
Caramel Fudge Stout,,Brouwerij Kees,11.5% ABV,45 IBU,3.892
Nanticoke Nectar,,RaR Brewing,7.4% ABV,65 IBU,3.789
8.6 Original,,Royal Swinkels,8.6% ABV,18 IBU,3.094
Raspberry Sour,,Avery Brewing Co.,5.8% ABV,N/A IBU,3.998
Audible Ale,,Redhook Brewery,4.7% ABV,22 IBU,3.333
Sweet Josie,,Lonerider Brewing Company,6.1% ABV,26 IBU,3.665
A Little Sumpin' Wild Ale,,Lagunitas Brewing Company,8.8% ABV,72 IBU,3.847
Lug Tread,,Beau's All Natural Brewing Company,5.2% ABV,21 IBU,3.611
Double Dry Hopped Fort Point,,Trillium Brewing Company,6.6% ABV,N/A IBU,4.407
One Claw,,Westbrook Brewing Co.,5.5% ABV,30 IBU,3.759
Gulden Draak Brewmasters Edition,,Brouwerij Van Steenberge,10.5% ABV,11 IBU,3.84
Ink & Dagger,,Amundsen Brewery,6.5% ABV,75 IBU,3.696
Kentucky Pumpkin Barrel Ale,,Lexington Brewing & Distilling Co.,10% ABV,16 IBU,3.739
Kellerbier,,Hacker-Pschorr,5.5% ABV,15 IBU,3.513
Honey Dew,,Fuller's Griffin Brewery,5% ABV,18 IBU,3.32
Saranac Pumpkin Ale,,Saranac Brewery (F.X. Matt Brewing Co.),5.3% ABV,15 IBU,3.437
Hopus,,Brasserie Lefebvre,8.3% ABV,40 IBU,3.521
Sosus,,Toppling Goliath Brewing Co.,7.8% ABV,100 IBU,4.259
Holsten Pilsener,,Holsten-Brauerei AG,4.8% ABV,28 IBU,2.943
Stone Levitation Amber Ale,,Stone Brewing,4.4% ABV,45 IBU,3.625
Kozel Premium Lager / Kozel 11,,Pivovar Velké Popovice,4.6% ABV,25 IBU,3.167
Bishops Finger,,Shepherd Neame,5.2% ABV,N/A IBU,3.328
Holly Jolly Christmas Ale,,Fat Head's Brewery,7.5% ABV,38 IBU,3.724
Prohibition Ale,,Speakeasy Ales & Lagers,6.1% ABV,45 IBU,3.543
Wailua Wheat,,Kona Brewing Hawaii,5.4% ABV,15 IBU,3.515
Cwtch,,Tiny Rebel Brewing Co,4.6% ABV,50 IBU,3.552
India Pale Ale,,Nøgne Ø,7.5% ABV,60 IBU,3.708
8 Days A Week,,Southern Tier Brewing Company,4.8% ABV,15 IBU,3.45
Lager Beer,,Innis & Gunn,4.6% ABV,21 IBU,3.34
Zinnebir,,Brasserie de la Senne,5.8% ABV,30 IBU,3.397
Arthur,,Hill Farmstead Brewery,6% ABV,N/A IBU,4.257
Oude Gueuze Tilquin à l'Ancienne,,Gueuzerie Tilquin,7% ABV,14 IBU,4.006
Phantasmagoria,,Prairie Artisan Ales,8% ABV,70 IBU,3.946
Cusqueña Dorada / Golden Lager,,Unión de Cervecerías Peruanas Backus y Johnston,5% ABV,25 IBU,3.122
Mangö,,Clown Shoes,5.5% ABV,25 IBU,3.631
Mosaic Hop,,Brouwerij Kees,5.5% ABV,40 IBU,3.565
Aktien Zwick'l Kellerbier,,Bayreuther Bierbrauerei,5.3% ABV,18 IBU,3.499
Angel City IPA,,Angel City Brewery,6.1% ABV,65 IBU,3.572
Global Warmer,,Sixpoint Brewery,7% ABV,70 IBU,3.764
Nitro Rübæus,,Founders Brewing Co.,5.7% ABV,15 IBU,3.955
Holiday Porter,,Samuel Adams,5.8% ABV,40 IBU,3.395
Apple / Pomme,,Brouwerij Lindemans,3.5% ABV,12 IBU,3.485
Double Crooked Tree IPA,,Dark Horse Brewing Co.,12% ABV,98 IBU,4.022
Curmudgeon's Better Half,,Founders Brewing Co.,12.7% ABV,45 IBU,4.122
Numero Uno Mexican Lager,,Flying Dog Brewery,4.9% ABV,20 IBU,3.469
Sour Wench Blackberry Ale,,Ballast Point Brewing Company,7% ABV,10 IBU,3.741
Hopothermia,,Alaskan Brewing Co.,8.5% ABV,70 IBU,3.813
Birthday Bomb!,,Prairie Artisan Ales,13% ABV,65 IBU,4.284
Shotgun Betty,,Lonerider Brewing Company,5.8% ABV,12 IBU,3.595
House Lager,,Jack's Abby Craft Lagers,5.2% ABV,18 IBU,3.562
Smith & Forge Hard Cider,,Uncharted Cider Company,6% ABV,10 IBU,3.448
Hopulent IPA,,Epic Brewing Company,8.8% ABV,62 IBU,3.796
Andechser Doppelbock Dunkel,,Klosterbrauerei Andechs,7.1% ABV,19 IBU,3.694
Punk'n,,Uinta Brewing Company,5% ABV,10 IBU,3.387
Sweet Child of Vine,,Fulton Beer,6.4% ABV,69 IBU,3.675
Double Bastard Ale,,Arrogant Consortia,10.5% ABV,100 IBU,3.897
Corsendonk Christmas Ale,,Brouwerij Corsendonk,8.1% ABV,23 IBU,3.681
Copper,,The Olde Mecklenburg Brewery,4.8% ABV,31 IBU,3.569
Standard,,Prairie Artisan Ales,6% ABV,25 IBU,3.689
Naranjito,,Brooklyn Brewery,4.5% ABV,35 IBU,3.301
Weird and Gilly,,SingleCut Beersmiths,6.6% ABV,88 IBU,4.037
Hitachino Nest Red Rice Ale,,Kiuchi Brewery,7% ABV,17 IBU,3.513
El Guapo Agave IPA,,O'Connor Brewing Co.,7.5% ABV,70 IBU,3.655
Berry Weiss,,Jacob Leinenkugel Brewing Company,4.7% ABV,14 IBU,3.328
Monty Python's Holy Grail Ale,,Black Sheep,4.7% ABV,N/A IBU,3.321
Wobble IPA,,Two Brothers Brewing Company,6.3% ABV,69 IBU,3.684
Boneshaker,,Amsterdam Brewing Company,7.1% ABV,80 IBU,3.684
Smashbomb Atomic IPA,,Flying Monkeys Craft Brewery,6% ABV,72 IBU,3.655
Achel Dubbel,,De Achelse Kluis,8% ABV,24 IBU,3.678
Salty Kiss,,Magic Rock Brewing,4.1% ABV,10 IBU,3.392
Pumpkin Ale,,Whole Hog Brewery,7% ABV,38 IBU,3.997
Son of a Baptist,,Epic Brewing Company,8% ABV,60 IBU,3.975
Enter Night Pilsner,,Arrogant Consortia,5.7% ABV,45 IBU,3.437
Oude Gueuze Cuvée René,,Brouwerij Lindemans,6% ABV,21 IBU,3.734
F5 IPA,,COOP Ale Works,7.1% ABV,85 IBU,3.775
Eugene,,Revolution Brewing,6.8% ABV,28 IBU,3.777
Cucumber Crush,,10 Barrel Brewing Co.,5% ABV,4 IBU,3.786
Op & Top,,Brouwerij de Molen,4.5% ABV,38 IBU,3.425
Tiny Bomb,,Wiseacre Brewing Company,4.5% ABV,39 IBU,3.538
Bronx American Pale Ale,,The Bronx Brewery,6.3% ABV,50 IBU,3.5
Maple Bacon Coffee Porter,,Funky Buddha Brewery,6.4% ABV,35 IBU,4.271
Planet Pale Ale,,BrewDog,4.3% ABV,45 IBU,3.429
Belgian Session,,Samuel Adams,4.3% ABV,16 IBU,3.245
Indio,,Cervecería Cuauhtémoc Moctezuma S.A. de C.V.,4.1% ABV,N/A IBU,3.11
Doom,,Founders Brewing Co.,12.4% ABV,100 IBU,4.013
Zoe,,Maine Beer Company,7.2% ABV,N/A IBU,3.873
Drunken Sailor,,CREW Republic,6.4% ABV,N/A IBU,3.589
Floreffe Triple / Tripel,,Brasserie Lefebvre,8% ABV,30 IBU,3.459
Wee Mac Scottish-Style Ale,,Sun King Brewery,5.3% ABV,23 IBU,3.675
Chouffe Bok 6666,,Brasserie d'Achouffe,6.66% ABV,19 IBU,3.477
St. Lupulin,,Odell Brewing Co.,6.5% ABV,46 IBU,3.799
Leffe d'Été / Zomerbier,,Abbaye de Leffe,5.2% ABV,17 IBU,3.479
Windows Up,,Alpine Beer Company,7% ABV,70 IBU,3.899
Leffe Bière d'Hiver / Winterbier,,Abbaye de Leffe,6.6% ABV,19 IBU,3.473
Rodenbach Caractère Rouge,,Brouwerij Rodenbach,7% ABV,8 IBU,4.154
Strongbow Gold Apple,,Bulmers Cider,5% ABV,N/A IBU,3.471
Osiris Pale Ale,,Sun King Brewery,5.6% ABV,50 IBU,3.669
The Reverend,,Avery Brewing Co.,10% ABV,24 IBU,3.937
Stone Saison,,Stone Brewing,6% ABV,45 IBU,3.506
Bullebak,,Brouwerij de Eeuwige Jeugd,7.7% ABV,N/A IBU,3.681
High West-ified Imperial Coffee Stout,,Lagunitas Brewing Company,12.2% ABV,39 IBU,4.251
Hansa Spesial IPA,,Hansa Borg Bryggerier,4.7% ABV,50 IBU,3.288
Fall Hornin',,Anderson Valley Brewing Company,6% ABV,20 IBU,3.51
Trappist Westvleteren Blond,,Brouwerij De Sint-Sixtusabdij van Westvleteren,5.8% ABV,41 IBU,4.019
Más Agave Clásica Lime,,Founders Brewing Co.,10% ABV,15 IBU,3.885
The Fear,,Flying Dog Brewery,9% ABV,45 IBU,3.63
Früli Strawberry Beer,,Delirium - Huyghe Brewery,4.1% ABV,8 IBU,3.679
Mooser Liesl Helles,,Arcobräu Gräfliches Brauhaus,5.3% ABV,15 IBU,3.483
Flannel Friday,,Harpoon Brewery,5.7% ABV,35 IBU,3.581
Bootjes Bier,,Antwerpse Brouw Compagnie,7% ABV,30 IBU,3.506
Pale Ale,,Schlafly - The Saint Louis Brewery,4.4% ABV,25 IBU,3.424
Velvet Hammer,,Peticolas Brewing Company,9% ABV,85 IBU,3.89
Gold,,Yards Brewing Co.,8% ABV,42 IBU,3.598
Sunlight Cream Ale,,Sun King Brewery,5.3% ABV,20 IBU,3.532
Imperial,,Cervecería Costa Rica (Florida Bebidas),4.5% ABV,N/A IBU,3.065
Maz,,Omnipollo,5.6% ABV,48 IBU,3.77
Paradise,,Prairie Artisan Ales,13% ABV,N/A IBU,4.207
Rebel Juiced IPA,,Samuel Adams,6.2% ABV,55 IBU,3.578
Make America Juicy Again,,Heretic Brewing Company,6.5% ABV,40 IBU,3.839
Lentebock,,Hertog Jan,7.2% ABV,24 IBU,3.449
Anna,,Hill Farmstead Brewery,6.4% ABV,N/A IBU,4.253
OAKED Arrogant Bastard Ale,,Arrogant Consortia,7.2% ABV,N/A IBU,3.893
Nut Brown Ale,,AleSmith Brewing Company,5% ABV,12 IBU,3.732
Mad Hatter,,New Holland Brewing,7% ABV,65 IBU,3.727
Mardi Gras Bock,,Abita Brewing Company,6.5% ABV,25 IBU,3.465
Caribbean Rum Cask,,Innis & Gunn,6.8% ABV,30 IBU,3.524
High Wire,,Magic Rock Brewing,5.5% ABV,50 IBU,3.654
Irish Red,,Samuel Adams,5.8% ABV,25 IBU,3.36
El Sully,,21st Amendment Brewery,4.8% ABV,19 IBU,3.369
Jacobus Pale Ale (RPA),,Jopen,5.5% ABV,45 IBU,3.453
Ayinger Urweisse,,Ayinger Privatbrauerei,5.8% ABV,13 IBU,3.744
Pale Ale,,Yazoo Brewing Company,5.8% ABV,47 IBU,3.454
Pumpkin Ale,,Smuttynose Brewing Co.,6.1% ABV,45 IBU,3.323
India Ale,,Samuel Smith,5% ABV,46 IBU,3.421
Key West Pale Ale,,Carib Brewery USA,5% ABV,N/A IBU,3.376
Vuurbaak,,Texelse Bierbrouwerij,5.5% ABV,25 IBU,3.456
Bommen & Granaten,,Brouwerij de Molen,11% ABV,30 IBU,3.827
Steam Brew Session IPA,,Privatbrauerei Eichbaum,4.9% ABV,35 IBU,3.088
Affligem Belgisch Wit,,Affligem Brouwerij,4.8% ABV,N/A IBU,3.466
Leffe Royale Cascade IPA,,Abbaye de Leffe,7.5% ABV,33 IBU,3.48
Hell,,Flötzinger Bräu Rosenheim,5.2% ABV,18 IBU,3.485
Sour Rosé,,Crooked Stave Artisan Beer Project,4.5% ABV,N/A IBU,3.827
Gnommegang,,Brewery Ommegang,9.5% ABV,26 IBU,3.822
Petrus Roodbruin (Oud Bruin),,Brouwerij De Brabandere,5.5% ABV,17 IBU,3.431
Hophead,,Dark Star Brewing Co.,3.8% ABV,50 IBU,3.464
On The Wings of Armageddon,,DC Brau Brewing Company,9.5% ABV,110 IBU,4.064
Witte Lambic,,Brouwerij Mort Subite,5.5% ABV,N/A IBU,3.442
Ace Perry Cider,,Ace Cider (The California Cider Company),5% ABV,N/A IBU,3.692
Nutcracker Ale,,Boulevard Brewing Co.,7.8% ABV,38 IBU,3.52
Tower Station IPA,,Mother Road Brewing Company,7.3% ABV,70 IBU,3.881
Skull Splitter,,Orkney Brewery,8.5% ABV,55 IBU,3.663
Double Bag,,Long Trail Brewing Company,7.2% ABV,39 IBU,3.563
Atlantik-Ale,,Störtebeker Braumanufaktur,5.1% ABV,38 IBU,3.492
Undead Party Crasher,,Clown Shoes,9% ABV,65 IBU,3.966
Freeride APA,,Alaskan Brewing Co.,5.3% ABV,40 IBU,3.555
Jack-O Pumpkin Ale,,Samuel Adams,4.4% ABV,8 IBU,3.574
Not Your Father's Ginger Ale,,Not Your Father’s,5.9% ABV,9 IBU,3.282
Modus Mandarina,,Ska Brewing,6.8% ABV,65 IBU,3.662
Strawberry Rhubarb,,Great Divide Brewing Company,6.4% ABV,12 IBU,3.735
Cold Mountain,,Highland Brewing Company,5.9% ABV,28 IBU,3.927
Detour,,Muskoka Brewery,4.3% ABV,38 IBU,3.632
Bean Flicker,,Odd Side Ales,4.5% ABV,21 IBU,3.785
Allgäuer Büble Bier Edelbräu,,Allgäuer Brauhaus,5.5% ABV,13 IBU,3.352
Aecht Schlenkerla Eiche – Doppelbock,,"Schlenkerla (""Heller-Bräu"" Trum)",8% ABV,40 IBU,3.715
Premium Lager,,Creemore Springs,5% ABV,24 IBU,3.462
Punk IPA Alcohol Free,,BrewDog,0.5% ABV,35 IBU,2.879
Spooky Tooth Imperial Pumpkin Ale,,Fat Head's Brewery,9% ABV,22 IBU,3.816
Trappistes Rochefort Triple Extra,,Abbaye Notre-Dame de Saint-Rémy,8.1% ABV,35 IBU,3.762
Augustijn Blond,,Brouwerij Van Steenberge,7% ABV,21 IBU,3.53
James Squire One Fifty Lashes,,Malt Shovel Brewery,4.2% ABV,19 IBU,3.388
Chiemseer Hell,,Auerbräu Rosenheimer Spezialitätenbrauerei,4.8% ABV,12 IBU,3.502
Original,,Bulmers Cider,4.5% ABV,N/A IBU,3.311
Pelforth Blonde,,Heineken France,5.8% ABV,N/A IBU,2.939
Dark Arts,,Magic Rock Brewing,6% ABV,N/A IBU,3.641
Citrus IPA,,Funk Brewing,6.7% ABV,70 IBU,3.841
Sidekick,,Two Brothers Brewing Company,5.1% ABV,36 IBU,3.603
Piranha® Pale Ale,,BJ's Restaurant & Brewhouse,5.7% ABV,40 IBU,3.483
Maisel & Friends Pale Ale,,Brauerei Gebr. Maisel,5.2% ABV,32 IBU,3.56
Lonely Blonde,,Fulton Beer,4.8% ABV,29 IBU,3.512
Chronic Amber Ale,,Pizza Port Brewing Company,4.9% ABV,33 IBU,3.57
Mountain Ale,,The Shed Brewery,7.4% ABV,35 IBU,3.62
Original Cider,,Crispin Cider Company,5% ABV,N/A IBU,3.474
Bifrost Winter Ale,,Elysian Brewing Company,8.3% ABV,58 IBU,3.569
Raja,,Avery Brewing Co.,8% ABV,70 IBU,3.906
Ananda,,Wiseacre Brewing Company,6.2% ABV,75 IBU,3.652
Goudenband,,Brouwerij Liefmans,8% ABV,8 IBU,3.693
Double Daisy Cutter,,Half Acre Beer Company,8.2% ABV,N/A IBU,4.086
Oro de Calabaza,,Jolly Pumpkin Artisan Ales,8% ABV,30 IBU,3.798
Budweiser Black Crown,,Anheuser-Busch,6% ABV,15 IBU,2.714
Toasted Oak IPA,,Innis & Gunn,5.6% ABV,N/A IBU,3.393
The Great Pumpkin,,Elysian Brewing Company,8% ABV,N/A IBU,3.889
American Dream,,Mikkeller,4.6% ABV,N/A IBU,3.553
Axis IPA,,Real Ale Brewing Company,7% ABV,70 IBU,3.723
Blood of the Unicorn,,Pipeworks Brewing Company,6.5% ABV,69 IBU,3.837
Equinox,,Lagunitas Brewing Company,8% ABV,50 IBU,3.854
House Party,,LERVIG,4% ABV,27 IBU,3.508
Old Empire IPA,,Marston's Brewery,5.7% ABV,35 IBU,3.282
Brrr Seasonal Ale,,Widmer Brothers Brewing,7.2% ABV,50 IBU,3.428
Napoleon Complex,,Wicked Weed Brewing,5.2% ABV,47 IBU,3.786
Tokyo,,Brouwerij St.Bernardus,6% ABV,15 IBU,3.473
Leffe Radieuse,,Abbaye de Leffe,8.2% ABV,25 IBU,3.535
Traditional Dry,,Angry Orchard Cider Company,5.5% ABV,N/A IBU,3.48
Joker IPA,,Williams Brothers Brewing Co.,5% ABV,30 IBU,3.493
Dos Perros,,Yazoo Brewing Company,4.9% ABV,16 IBU,3.525
Hefeweizen,,Pyramid Brewing Co.,5.2% ABV,18 IBU,3.431
Escape Route,,Samuel Adams,5% ABV,30 IBU,3.355
Bornem Tripel,,Brouwerij Van Steenberge,9% ABV,25 IBU,3.467
Leffe Royale,,Abbaye de Leffe,7.5% ABV,N/A IBU,3.693
Saranac Pale Ale,,Saranac Brewery (F.X. Matt Brewing Co.),5.5% ABV,32 IBU,3.322
Autumn Maple,,The Bruery,10% ABV,15 IBU,3.686
House of Pale,,To Øl,5.5% ABV,37 IBU,3.634
Road Warrior,,Green Flash Brewing Company,9% ABV,80 IBU,3.855
Mango Mosaic,,Breckenridge Brewery,5.5% ABV,29 IBU,3.56
Guava Gose,,Collective Arts Brewing,4.9% ABV,12 IBU,3.752
Chieftain,,Franciscan Well Brewery,5.5% ABV,50 IBU,3.547
Kölsch,,Alaskan Brewing Co.,5.3% ABV,18 IBU,3.505
Decadent Dark Chocolate Ale,,Atwater Brewery,5% ABV,11 IBU,3.834
Duckpin Pale Ale,,Union Craft Brewing,5.5% ABV,55 IBU,3.624
Smithwick’s Pale Ale,,Guinness,4.5% ABV,N/A IBU,3.34
Grey Lady Wheat Ale,,Cisco Brewers,4% ABV,7 IBU,3.454
Toaster Pastry,,21st Amendment Brewery,7.6% ABV,74 IBU,3.738
Cloudy & Cumbersome,,Levante Brewing Company,5.9% ABV,19 IBU,3.86
Classic Gueuze,,Brasserie Cantillon,5% ABV,N/A IBU,4.266
Sticky Hands,,Block 15 Brewing Company,8.1% ABV,110 IBU,4.146
