Пиво,Пивоварня,Стиль,ABV,IBU,Рейтинг
Delirium Red,,Delirium - Huyghe Brewery,8% ABV,10 IBU,3.582
90 Shilling,,Odell Brewing Co.,5.3% ABV,27 IBU,3.699
Vedett Extra Ordinary IPA,,Duvel Moortgat,5.5% ABV,40 IBU,3.491
Azacca IPA,,Founders Brewing Co.,7% ABV,70 IBU,3.733
Blood Orange Gose,,Anderson Valley Brewing Company,4.2% ABV,12 IBU,3.708
Undercover Investigation Shut-Down Ale,,Lagunitas Brewing Company,9.7% ABV,66 IBU,3.86
Bolleke De Koninck (APA),,Brouwerij De Koninck,5.2% ABV,23 IBU,3.338
N'Ice Chouffe,,Brasserie d'Achouffe,10% ABV,25 IBU,3.661
Guayabera®,,Cigar City Brewing®,5.5% ABV,50 IBU,3.713
Moose Drool Brown Ale,,Big Sky Brewing Company,5.1% ABV,N/A IBU,3.637
Salvator,,Paulaner Brauerei,7.9% ABV,28 IBU,3.599
Żywiec,,Grupa Żywiec,5.6% ABV,24 IBU,3.102
Big Eye,,Ballast Point Brewing Company,7% ABV,71 IBU,3.731
Amber,,Abita Brewing Company,4.5% ABV,17 IBU,3.428
Ayinger Bräuweisse,,Ayinger Privatbrauerei,5.1% ABV,13 IBU,3.717
Black & Tan,,Yuengling Brewery,4.6% ABV,17 IBU,3.445
Efes Pilsener,,Anadolu Efes,5% ABV,22 IBU,2.937
Trippel,,New Belgium Brewing Company,8.5% ABV,43 IBU,3.594
Caribbean Rum Cask,,Innis & Gunn,6.8% ABV,N/A IBU,3.594
Doom Bar,,Sharp's Brewery,4% ABV,20 IBU,3.386
Amber Ale,,Bell's Brewery,5.8% ABV,N/A IBU,3.595
The Maharaja,,Avery Brewing Co.,10% ABV,102 IBU,4.03
Brooklyn Sorachi Ace,,Brooklyn Brewery,7.2% ABV,34 IBU,3.631
Night Owl Pumpkin Ale,,Elysian Brewing Company,6.7% ABV,N/A IBU,3.812
Cherry Wheat,,Samuel Adams,5.3% ABV,23 IBU,3.419
Red Chair NWPA,,Deschutes Brewery,6.2% ABV,60 IBU,3.704
Affligem Dubbel,,Affligem Brouwerij,6.8% ABV,21 IBU,3.452
Strongbow,,Bulmers Cider,5% ABV,N/A IBU,3.374
Bud Light Platinum,,Anheuser-Busch,6% ABV,12 IBU,2.387
Christmas Ale,,Brouwerij St.Bernardus,10% ABV,20 IBU,3.862
Stiegl-Goldbräu / Stiegl Gold,,Stieglbrauerei zu Salzburg,5% ABV,20 IBU,3.323
Big Bad Baptist,,Epic Brewing Company,11.5% ABV,65 IBU,4.169
Camden Pale Ale,,Camden Town Brewery,4% ABV,38 IBU,3.465
Gouden Carolus Classic,,Brouwerij Het Anker,8.5% ABV,25 IBU,3.736
Maredsous Triple / Tripel,,Abbaye de Maredsous,10% ABV,20 IBU,3.721
Old Fezziwig,,Samuel Adams,5.9% ABV,25 IBU,3.404
Weisse / Hefe Weiße / Weissbier,,Hacker-Pschorr,5.5% ABV,12 IBU,3.675
Harvest Pumpkin Ale,,Blue Moon Brewing Company,5.7% ABV,16 IBU,3.321
Tangerine Wheat,,Lost Coast Brewery,5.2% ABV,15 IBU,3.677
Bengali,,Sixpoint Brewery,6.6% ABV,66 IBU,3.715
Bass Pale Ale,,Bass Brewers,5% ABV,49 IBU,3.325
Pumpkin Ale,,Schlafly - The Saint Louis Brewery,8% ABV,16 IBU,3.911
Scrimshaw,,North Coast Brewing Company,4.5% ABV,22 IBU,3.547
DBA (Double Barrel Ale),,Firestone Walker Brewing Company,5% ABV,30 IBU,3.568
Victoria,,Grupo Modelo,4% ABV,N/A IBU,3.167
Oatmeal Stout,,Samuel Smith,5% ABV,32 IBU,3.801
Stone Sublimely Self-Righteous Black IPA,,Stone Brewing,8.7% ABV,90 IBU,3.93
Alter Ego,,Tree House Brewing Company,6.8% ABV,72 IBU,4.396
Avalanche Amber Ale,,Breckenridge Brewery,5% ABV,19 IBU,3.511
Eliot Ness Amber Lager,,Great Lakes Brewing Company,6.1% ABV,27 IBU,3.588
"West Coast IPA (-2013, 2019-)",,Green Flash Brewing Company,7% ABV,95 IBU,3.837
Total Domination,,Ninkasi Brewing Company,6.7% ABV,81 IBU,3.728
Coconut Hiwa,,Maui Brewing Company,6% ABV,30 IBU,3.749
Peeper,,Maine Beer Company,5.5% ABV,N/A IBU,3.826
Gouden Carolus Whisky Infused,,Brouwerij Het Anker,11.7% ABV,15 IBU,4.003
Tripel d'Anvers,,Brouwerij De Koninck,8% ABV,23 IBU,3.642
Weizener,,Hertog Jan,5.7% ABV,16 IBU,3.592
Burton Baton,,Dogfish Head Craft Brewery,10% ABV,70 IBU,4.058
Früh Kölsch,,Cölner Hofbräu Früh,4.8% ABV,19 IBU,3.316
Curieux,,Allagash Brewing Company,10.2% ABV,27 IBU,4.047
Hop Drop ‘N Roll,,NoDa Brewing Company,7.2% ABV,81 IBU,3.965
Schöfferhofer Hefeweizen / Weizen,,Radeberger Gruppe,5% ABV,14 IBU,3.487
Piraat,,Brouwerij Van Steenberge,10.5% ABV,23 IBU,3.608
Liliko'i Kepolo,,Avery Brewing Co.,5.4% ABV,10 IBU,3.751
Proper Job,,St Austell Brewery,4.5% ABV,N/A IBU,3.445
Mannenliefde,,Oedipus Brewing,6% ABV,25 IBU,3.462
Superfuzz Blood Orange Pale,,Elysian Brewing Company,6.4% ABV,45 IBU,3.623
7 Hop IPA,,Rogue Ales,7.77% ABV,76 IBU,3.891
IPA,,Koninklijke Brand Bierbrouwerij,7% ABV,45 IBU,3.373
Life in the Clouds,,Collective Arts Brewing,6.1% ABV,N/A IBU,3.888
Stone Buenaveza Salt & Lime Lager,,Stone Brewing,4.7% ABV,13 IBU,3.391
IPA,,Southern Tier Brewing Company,7% ABV,60 IBU,3.624
Apocalypse IPA,,10 Barrel Brewing Co.,6.8% ABV,70 IBU,3.724
Vanilla Java Porter,,Atwater Brewery,5% ABV,13 IBU,3.829
Blood & Honey,,Revolver Brewing,7% ABV,20 IBU,3.71
Scottish Ale,,Belhaven Brewery,5.2% ABV,28 IBU,3.581
White Christmas,,Samuel Adams,5.8% ABV,8 IBU,3.388
Red's Rye IPA,,Founders Brewing Co.,6.6% ABV,70 IBU,3.775
Ransack the Universe,,Collective Arts Brewing,6.8% ABV,85 IBU,3.829
Citra Hopped Live Pale Ale,,Southern Tier Brewing Company,5.5% ABV,37 IBU,3.667
Grand Prestige,,Hertog Jan,10% ABV,25 IBU,3.816
Barbãr,,Brasserie Lefebvre,8% ABV,20 IBU,3.488
Avery IPA,,Avery Brewing Co.,6.5% ABV,69 IBU,3.618
Ayinger Oktober Fest-Märzen,,Ayinger Privatbrauerei,5.8% ABV,25 IBU,3.814
Neapolitan Milk Stout,,Saugatuck Brewing Company,6% ABV,37 IBU,3.829
Rodenbach Classic,,Brouwerij Rodenbach,5.2% ABV,30 IBU,3.455
Conway's Irish Ale,,Great Lakes Brewing Company,6.3% ABV,25 IBU,3.662
Southern Pecan,,Lazy Magnolia Brewing Company,4.5% ABV,19 IBU,3.576
Road 2 Ruin Double IPA,,Two Roads Brewing Company,8% ABV,78 IBU,3.815
Yellow Rose,,Lone Pint Brewery,6.8% ABV,62 IBU,4.048
Dunkel,,Warsteiner,4.8% ABV,28 IBU,3.646
2XMAS,,Southern Tier Brewing Company,8% ABV,40 IBU,3.601
Mango Even Keel,,Ballast Point Brewing Company,3.8% ABV,40 IBU,3.633
Noa Pecan Mud Cake Stout,,Omnipollo,11% ABV,60 IBU,4.2
Grunion Pale Ale,,Ballast Point Brewing Company,5.5% ABV,50 IBU,3.733
New England IPA,,Samuel Adams,6.8% ABV,35 IBU,3.685
Strawberry Lager,,Abita Brewing Company,4.2% ABV,13 IBU,3.42
Monk's Café Flemish Sour Ale,,Brouwerij Van Steenberge,5.5% ABV,N/A IBU,3.838
Paix Dieu,,Brasserie Caulier,10% ABV,24 IBU,3.77
Landlord,,Timothy Taylor's Brewery,4.3% ABV,45 IBU,3.528
Andygator,,Abita Brewing Company,8% ABV,25 IBU,3.542
Rare Vos,,Brewery Ommegang,6.5% ABV,21 IBU,3.745
Sága,,Summit Brewing Company,6.4% ABV,80 IBU,3.666
Hop Gun IPA,,Funky Buddha Brewery,7% ABV,50 IBU,3.735
Brother Thelonious,,North Coast Brewing Company,9.4% ABV,32 IBU,3.867
Doggie Style,,Flying Dog Brewery,5.5% ABV,35 IBU,3.547
Palo Santo Marron,,Dogfish Head Craft Brewery,12% ABV,50 IBU,3.968
Wrench NEIPA,,Industrial Arts Brewing,7.1% ABV,N/A IBU,4.114
Big Swell IPA,,Maui Brewing Company,6.8% ABV,70 IBU,3.687
Cuvée des Jacobins Rouge,,Omer Vander Ghinste,5.5% ABV,11 IBU,3.929
Batsquatch,,Rogue Ales,6.7% ABV,54 IBU,3.74
IPA,,AleSmith Brewing Company,7.25% ABV,40 IBU,3.894
Christmas Ale,,Breckenridge Brewery,7.1% ABV,22 IBU,3.568
Petrus Aged Pale,,Brouwerij De Brabandere,7.3% ABV,24 IBU,3.586
Turbodog,,Abita Brewing Company,5.6% ABV,28 IBU,3.528
Trappistes Rochefort 6,,Abbaye Notre-Dame de Saint-Rémy,7.5% ABV,35 IBU,3.714
Michelob AmberBock,,Anheuser-Busch,5.1% ABV,19 IBU,3.107
"The Kimmie, the Yink and the Holy Gose Ale",,Anderson Valley Brewing Company,4.2% ABV,12 IBU,3.586
Huma Lupa Licious,,Short's Brewing Company,7.7% ABV,70 IBU,3.742
The Crisp,,Sixpoint Brewery,5.4% ABV,44 IBU,3.475
